SampleID,Year,Lake,Habitat,Site,Depth,Week,Date,Type,Taxon,Trophic,Length,Weight,Tissue,GutID,FishID,d15N,d13C,dD,AnalyzedForBatt2012,Notes
Z-1166,2010,Ward,Pelagic,C,all,4,18-Aug-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,3.74,-31.86,-160.1,Yes,
Z-1167,2010,Ward,Integrated,D,Integrated,4,18-Aug-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-157.6,No,
Z-1168,2010,Ward,Pelagic,E,all,4,18-Aug-10,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,4.15,-31.95,-156.8,Yes,
Z-1169,2012,Ward,Integrated,A,0-4,2,18-Jun-12,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-177.7,No,
Z-1170,2012,Ward,Integrated,B,0-4,2,18-Jun-12,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-204.2,No,
Z-1171,2012,Ward,Integrated,C,0-4,2,18-Jun-12,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-186,No,
Z-1172,2012,Ward,Epi,A,0.5,2,19-Jun-12,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-176.1,No,
Z-1173,2012,Ward,Meta,A,1.5,2,19-Jun-12,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-241,No,
Z-1174,2012,Ward,Epi,B,0.5,2,19-Jun-12,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-208.9,No,
Z-1175,2012,Ward,Meta,B,1.5,2,19-Jun-12,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-200.2,No,
Z-1176,2012,Ward,Epi,C,0.5,2,19-Jun-12,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-228.7,No,
Z-1177,2012,Ward,Meta,C,1.5,2,19-Jun-12,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-220.3,No,
Z-1178,2012,Ward,Meta,A,1.5,2,19-Jun-12,Zooplankton,Mesocyclops,1,NA,NA,NA,NA,NA,NA,NA,-180.1,No,
Z-1179,2012,Ward,Meta,B,1.5,2,19-Jun-12,Zooplankton,Mesocyclops,1,NA,NA,NA,NA,NA,NA,NA,-157.6,No,
Z-1180,2012,Ward,Meta,C,1.5,2,19-Jun-12,Zooplankton,Mesocyclops,1,NA,NA,NA,NA,NA,NA,NA,-175.2,No,
Z-1181,2012,Ward,Integrated,A,0-4,3,16-Jul-12,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-178.6,No,
Z-1182,2012,Ward,Integrated,B,0-4,3,16-Jul-12,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-178.9,No,
Z-1183,2012,Ward,Integrated,C,0-4,3,16-Jul-12,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-171.3,No,
Z-1184,2012,Ward,Meta,A,1.5,3,17-Jul-12,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-230.1,No,
Z-1185,2012,Ward,Meta,A,1.5,3,17-Jul-12,Zooplankton,Mesocyclops,1,NA,NA,NA,NA,NA,NA,NA,-188.6,No,
Z-1186,2012,Ward,Meta,B,1.5,3,17-Jul-12,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-176.8,No,
Z-1187,2012,Ward,Meta,B,1.5,3,17-Jul-12,Zooplankton,Mesocyclops,1,NA,NA,NA,NA,NA,NA,NA,-180.8,No,
Z-1188,2012,Ward,Meta,C,1.5,3,17-Jul-12,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-212.3,No,
Z-1189,2012,Ward,Meta,C,1.5,3,17-Jul-12,Zooplankton,Mesocyclops,1,NA,NA,NA,NA,NA,NA,NA,-168.4,No,
Z-1190,2012,Ward,Epi,A,0.5,3,17-Jul-12,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-144.2,No,
Z-1191,2012,Ward,Epi,B,0.5,3,17-Jul-12,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-186.4,No,
Z-1192,2012,Ward,Epi,C,0.5,3,17-Jul-12,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-206.5,No,
Z-1193,2012,Ward,Integrated,A,0-4,4,15-Aug-12,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-169.2,No,
Z-1194,2012,Ward,Integrated,B,0-4,4,15-Aug-12,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-156.7,No,
Z-1195,2012,Ward,Integrated,C,0-4,4,15-Aug-12,Zooplankton,Chaoborus,2,NA,NA,NA,NA,NA,NA,NA,-162.7,No,
Z-1196,2012,Ward,Meta,A,2,4,15-Aug-12,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-190,No,
Z-1197,2012,Ward,Meta,A,2,4,15-Aug-12,Zooplankton,Mesocyclops,1,NA,NA,NA,NA,NA,NA,NA,-187.8,No,
Z-1198,2012,Ward,Meta,B,2,4,15-Aug-12,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-182.3,No,
Z-1200,2012,Ward,Meta,C,2,4,15-Aug-12,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-212.8,No,
Z-1202,2012,Ward,Epi,A,0.5,4,15-Aug-12,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-164.4,No,
Z-1203,2012,Ward,Epi,B,0.5,4,15-Aug-12,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-165.9,No,
Z-1204,2012,Ward,Epi,C,0.5,4,15-Aug-12,Zooplankton,Calanoid,1,NA,NA,NA,NA,NA,NA,NA,-184,No,
W-0143,2012,Ward,Epi,A,0.5,2,19-Jun-12,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-61.24,No,
W-0144,2012,Ward,Meta,A,1.5,2,19-Jun-12,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-64.4,No,
W-0145,2012,Ward,Epi,B,0.5,2,19-Jun-12,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-61.9,No,
W-0146,2012,Ward,Meta,B,1.5,2,19-Jun-12,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-64.43,No,
W-0147,2012,Ward,Epi,C,0.5,2,19-Jun-12,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-61.04,No,
W-0148,2012,Ward,Meta,C,1.5,2,19-Jun-12,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-63.2,No,
W-0149,2012,Ward,Epi,A,0.5,3,17-Jul-12,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-52.97,No,
W-0150,2012,Ward,Meta,A,1.5,3,17-Jul-12,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-59.31,No,
W-0151,2012,Ward,Epi,B,0.5,3,17-Jul-12,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-53.05,No,
W-0152,2012,Ward,Meta,B,1.5,3,17-Jul-12,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-57.41,No,
W-0153,2012,Ward,Epi,C,0.5,3,17-Jul-12,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-53.54,No,
W-0154,2012,Ward,Meta,C,1.5,3,17-Jul-12,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-64.87,No,
W-0155,2012,Ward,Epi,A,0.5,4,14-Aug-12,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-54.99,No,
W-0156,2012,Ward,Meta,A,1.5,4,14-Aug-12,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-60.33,No,
W-0157,2012,Ward,Epi,B,0.5,4,14-Aug-12,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-55.42,No,
W-0158,2012,Ward,Meta,B,1.5,4,14-Aug-12,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-60.44,No,
W-0159,2012,Ward,Epi,C,0.5,4,14-Aug-12,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-54.95,No,
W-0160,2012,Ward,Meta,C,1.5,4,14-Aug-12,Water,Water,NA,NA,NA,NA,NA,NA,NA,NA,-58.49,No,
